taxa	Sim100
33-16	102.8
38-11	94.69
4226	102.8
4722	96.74
A188	94.69
A214N	98.79
A239	98.79
A272	106.9
A441-5	94.69
A554	98.79
A556	106.9
A6	94.69
A619	102.8
A632	98.79
A634	98.79
A635	94.69
A641	96.74
A654	98.79
A659	106.9
A661	102.8
A679	92.64
A680	92.64
A682	98.79
AB28A	98.79
B10	92.64
B103	106.9
B104	92.64
B105	98.79
B109	94.69
B115	100.8
B14A	94.69
B164	98.79
B2	102.8
B37	106.9
B46	90.59
B52	109
B57	94.69
B64	96.74
B68	98.79
B73	90.59
B73HTRHM	92.64
B75	102.8
B76	102.8
B77	102.8
B79	102.8
B84	98.79
B97	98.79
C103	106.9
C123	102.8
C49A	98.79
CH701-30	94.69
CH9	94.69
CI7	90.59
CI187-2	104.9
CI21E	92.64
CI28A	106.9
CI31A	96.74
CI3A	96.74
CI64	98.79
CI66	98.79
CI90C	94.69
CI91B	98.79
CM105	94.69
CM174	94.69
CM37	94.69
CM7	90.59
CML10	102.8
CML103	94.69
CML108	106.9
CML11	98.79
CML14	106.9
CML154Q	100.8
CML157Q	90.59
CML158Q	90.59
CML218	94.69
CML220	86.49
CML228	100.8
CML238	96.74
CML247	104.9
CML254	98.79
CML258	98.79
CML261	94.69
CML264	102.8
CML277	100.8
CML281	98.79
CML287	96.74
CML311	102.8
CML314	94.69
CML321	102.8
CML322	98.79
CML323	102.8
CML328	94.69
CML331	96.74
CML332	96.74
CML333	94.69
CML341	106.9
CML38	102.8
CML45	86.49
CML5	100.8
CML52	102.8
CML61	98.79
CML69	94.69
CML77	96.74
CML91	102.8
CML92	98.79
CMV3	92.64
CO106	102.8
CO125	94.69
CO255	98.79
D940Y	104.9
DE2	98.79
DE3	92.64
DE1	102.8
DE811	98.79
E2558W	102.8
EP1	98.79
F2834T	98.79
F44	98.79
F6	94.69
F7	94.69
GA209	100.8
GT112	102.8
H105W	96.74
H49	98.79
H84	102.8
H91	94.69
H95	102.8
H99	98.79
HI27	102.8
HP301	98.79
HY	100.8
I137TN	102.8
I205	90.59
I29	102.8
IA2132	102.8
IA5125	98.79
IDS28	102.8
IDS69	106.9
IDS91	104.9
IL101	111
IL14H	106.9
IL677A	111
K148	104.9
K4	106.9
K55	98.79
K64	98.79
KI11	92.64
KI14	98.79
KI2021	106.9
KI21	98.79
KI3	102.8
KI43	98.79
KI44	94.69
KY21	102.8
KY226	98.79
KY228	98.79
L317	94.69
L578	100.8
M14	102.8
M162W	98.79
M37W	106.9
MEF156-55-2	106.9
MO17	106.9
MO18W	94.69
MO1W	98.79
MO24W	104.9
MO44	94.69
MO45	104.9
MO46	100.8
MO47	100.8
MOG	98.79
MP339	90.59
MS1334	98.79
MS153	98.79
MS71	98.79
MT42	102.8
N192	94.69
N28HT	100.8
N6	98.79
N7A	102.8
NC222	94.69
NC230	94.69
NC232	96.74
NC236	94.69
NC238	102.8
NC250	102.8
NC258	102.8
NC260	94.69
NC262	102.8
NC264	106.9
NC290A	102.8
NC294	102.8
NC296	102.8
NC296A	102.8
NC298	98.79
NC300	106.9
NC302	100.8
NC304	111
NC306	98.79
NC310	96.74
NC314	104.9
NC318	106.9
NC320	109
NC324	106.9
NC326	92.64
NC328	96.74
NC33	111
NC336	102.8
NC338	98.79
NC340	109
NC342	102.8
NC344	102.8
NC346	102.8
NC348	102.8
NC350	106.9
NC352	102.8
NC354	94.69
NC356	98.79
NC358	100.8
NC360	104.9
NC362	109
NC364	106.9
NC366	98.79
NC368	98.79
ND246	98.79
OH40B	106.9
OH43	102.8
OH43E	98.79
OH603	102.8
OH7B	102.8
OS420	102.8
P39	106.9
PA762	111
PA875	94.69
PA880	90.59
PA91	88.54
R109B	100.8
R168	106.9
R177	100.8
R229	96.74
R4	94.69
SA24	96.74
SC213R	111
SC357	102.8
SC55	96.74
SD40	104.9
SD44	94.69
SG1533	90.59
SG18	94.69
T232	98.79
T234	92.64
T8	104.9
TX303	106.9
TX601	100.8
TZI10	98.79
TZI11	100.8
TZI16	98.79
TZI18	106.9
TZI25	90.59
TZI8	94.69
TZI9	90.59
U267Y	102.8
VA102	111
VA14	102.8
VA17	102.8
VA22	102.8
VA26	102.8
VA35	104.9
VA59	106.9
VA85	106.9
VA99	98.79
VAW6	100.8
W117HT	98.79
W153R	98.79
W182B	98.79
W22R-RSTD	102.8
W22	102.8
W64A	100.8
WD	102.8
WF9	98.79
YU796NS	100.8
