taxa	EarHT	dpoll	EarDia	Sim0	Sim25	Sim50	Sim75	Sim100
33-16	64.75	64.5	NaN	106.6	101.6	101.6	101.5	102.8
38-11	92.25	68.5	37.897	99.43	103.8	100.4	102.7	94.69
4226	65.5	59.5	32.21933	103.7	99.35	102.4	101.2	102.8
4722	81.13	71.5	32.421	89.30	96.33	105.7	105.5	96.74
A188	27.5	62	31.419	100.7	89.55	106.1	108.1	94.69
A214N	65	69	32.006	99.03	108.1	97.54	95.13	98.79
A239	47.88	61	36.064	100.9	102.2	97.42	100.2	98.79
A272	35.63	70	NaN	109.6	102.3	97.20	103.4	106.9
A441-5	53.5	67.5	35.008	96.50	105.8	101.2	93.82	94.69
A554	38.5	66	33.41775	97.61	100.6	96.17	91.43	98.79
A556	28	65	31.929	111.4	109.0	91.27	103.1	106.9
A6	109.5	80.5	31.5175	104.9	105.3	97.53	100.7	94.69
A619	36	61	40.63	88.74	95.02	98.01	109.1	102.8
A632	60	61	35.953	96.08	100.3	94.91	93.13	98.79
A634	54	59	35.601	91.64	105.9	101.9	91.44	98.79
A635	37	64	35.3005	95.82	94.30	94.44	101.8	94.69
A641	54.5	66	33.727	93.78	102.9	101.7	98.00	96.74
A654	39	64	NaN	105.1	96.33	111.1	102.0	98.79
A659	46.5	58.5	38.84617	108.8	106.1	98.85	98.34	106.9
A661	51.5	59	39.323	94.86	101.9	86.67	100.2	102.8
A679	65	66	42.471	96.69	102.2	97.15	95.24	92.64
A680	68	65.5	41.152	105.8	98.61	105.5	97.57	92.64
A682	47	57.5	35.928	96.57	100.2	108.8	101.7	98.79
AB28A	73.5	78	32.504	102.0	99.68	98.68	95.25	98.79
B10	74	69	36.561	95.58	110.3	108.8	98.86	92.64
B103	37	57.5	NaN	110.9	88.42	96.95	97.66	106.9
B104	56.25	64.5	44.773	99.58	106.6	100.2	97.33	92.64
B105	67.5	68	39.857	95.03	99.02	94.80	91.99	98.79
B109	67	64	38.951	105.5	94.06	105.6	98.23	94.69
B115	68	65.5	37.05975	106.7	105.1	98.09	102.4	100.8
B14A	57	63.5	38.067	98.24	100.8	91.18	95.59	94.69
B164	66	58	35.562	96.23	99.50	90.67	105.4	98.79
B2	39.5	70	NaN	102.4	103.9	102.2	102.0	102.8
B37	72.5	65.5	36.4475	93.64	97.32	99.98	105.1	106.9
B46	42	69	40.699	97.21	98.86	95.84	94.43	90.59
B52	72.5	70	NaN	104.4	102.5	100.6	94.98	109.0
B57	41	65	37.87475	96.76	91.86	103.6	109.6	94.69
B64	74.5	68.5	37.221	89.44	102.6	103.0	92.72	96.74
B68	65	71.5	38.889	93.09	104.1	98.62	94.90	98.79
B73	83.25	70	41.633	94.73	103.7	98.61	96.80	90.59
B73HTRHM	73	67	42.956	97.39	108.9	106.6	96.02	92.64
B75	56	62	38.2075	100.2	104.7	102.7	99.65	102.8
B76	53	61.5	35.33575	95.83	103.0	94.78	99.84	102.8
B77	50	65	39.028	104.5	102.1	92.44	105.9	102.8
B79	66.5	66.5	41.61	103.5	98.06	93.13	101.7	102.8
B84	72	67.5	37.622	103.1	101.7	98.63	97.55	98.79
B97	53	60.5	37.665	98.71	102.3	91.98	91.62	98.79
C103	52.5	66.5	34.91575	110.5	99.73	108.8	95.46	106.9
C123	32	62.5	NaN	96.66	88.01	102.6	95.07	102.8
C49A	22.5	57	28.544	99.94	102.2	98.13	95.56	98.79
CH701-30	61	60	33.5835	99.63	99.46	102.1	105.7	94.69
CH9	41.5	67.5	38.90333	98.51	100.1	102.2	100.0	94.69
CI7	84.67	68.5	37.889	94.20	105.8	93.88	99.63	90.59
CI187-2	62.63	70.5	34.085	100.3	101.3	102.3	98.97	104.9
CI21E	64	68	40.991	97.05	105.2	87.08	101.1	92.64
CI28A	72.5	66.5	37.328	97.50	106.3	94.92	96.74	106.9
CI31A	74	73	NaN	100.2	97.12	95.82	98.66	96.74
CI3A	66.5	70	44.051	97.23	90.90	101.7	102.0	96.74
CI64	64.5	70.5	41.403	102.1	99.55	97.15	94.74	98.79
CI66	47	75	32.5045	101.0	100.1	92.52	97.84	98.79
CI90C	63.5	67.5	33.92475	88.84	97.89	100.0	87.41	94.69
CI91B	49	66.5	35.53867	96.10	102.7	104.7	107.4	98.79
CM105	31.5	65.5	36.218	93.65	90.82	102.3	100.6	94.69
CM174	34.5	64	32.9705	101.6	103.0	99.74	91.55	94.69
CM37	24	57.5	25.74375	103.3	102.7	96.00	105.7	94.69
CM7	28	61.5	31.667	101.9	97.44	93.89	103.5	90.59
CML10	110	77	33.33867	100.9	100.1	98.97	103.0	102.8
CML103	88.5	69	42.029	97.53	98.24	96.29	92.08	94.69
CML108	55.5	71.5	40.739	100.3	99.25	101.3	91.24	106.9
CML11	97.25	80.5	33.48683	100.4	94.62	101.9	106.2	98.79
CML14	80	82	30.863	101.7	98.52	90.65	98.58	106.9
CML154Q	61	72.5	42.933	97.53	88.93	111.0	103.9	100.8
CML157Q	111.5	71.5	40.303	109.2	98.53	99.96	105.8	90.59
CML158Q	74	74.5	41.6995	101.6	102.5	104.9	90.96	90.59
CML218	62	69	35.57	91.60	97.54	99.66	96.90	94.69
CML220	44	63.5	40.216	101.4	91.69	104.6	105.3	86.49
CML228	74	72.5	31.339	96.06	104.3	99.54	101.0	100.8
CML238	57.5	74	42.477	95.90	105.0	98.62	102.4	96.74
CML247	68.5	78	37.79683	98.45	101.6	101.9	99.57	104.9
CML254	70	NaN	NaN	98.68	95.25	93.89	104.2	98.79
CML258	133	81	37.02083	101.0	95.71	100.6	102.8	98.79
CML261	104.17	77	37.46267	94.86	96.12	94.95	97.93	94.69
CML264	60.5	82	NaN	98.31	87.05	100.0	97.09	102.8
CML277	82.5	75	39.036	113.6	103.9	103.5	104.0	100.8
CML281	73.5	81	NaN	103.6	104.8	104.1	86.45	98.79
CML287	95	75	37.24	101.3	91.65	100.4	106.5	96.74
CML311	89.25	NaN	NaN	99.69	100.8	92.46	101.3	102.8
CML314	81.5	69	38.929	98.32	106.3	100.3	104.6	94.69
CML321	82	79.5	39.339	95.31	106.7	103.6	95.42	102.8
CML322	66.75	68	40.0235	102.9	112.8	106.0	103.2	98.79
CML323	63	70.5	39.081	90.09	108.1	101.3	96.78	102.8
CML328	74.5	65	34.876	96.90	91.03	92.09	104.1	94.69
CML331	59	77	NaN	95.64	97.63	90.78	105.1	96.74
CML332	66.5	70.5	37.182	92.15	97.97	99.70	103.8	96.74
CML333	97.5	69	36.581	102.3	101.1	100.5	110.7	94.69
CML341	94.63	73	42.116	98.01	101.7	101.7	97.50	106.9
CML38	82.5	75.5	32.36083	95.34	100.6	101.1	105.0	102.8
CML45	45	82.5	NaN	98.33	97.49	102.1	103.6	86.49
CML5	94.25	78	NaN	102.6	92.00	98.12	103.7	100.8
CML52	104.33	81	32.69017	95.04	100.5	102.5	96.49	102.8
CML61	NaN	NaN	NaN	95.62	100.5	90.94	102.8	98.79
CML69	76	73.5	37.723	97.52	101.6	96.75	102.2	94.69
CML77	63	68.5	43.716	106.7	102.3	102.5	105.1	96.74
CML91	64.5	69.5	39.435	105.2	99.48	94.53	91.02	102.8
CML92	68	71.5	40.503	102.3	96.28	101.0	102.4	98.79
